id;kategorie;frage;runde;gedeckt;beanstandungen;verlauf;dauer_gesamt_s;dauer_modell_s;tokens_prompt;tokens_antwort;kosten_chf;maengel_anzahl;maengel;usb_ziffer;usb_beantwortet_ok;usb_muss_fehlend;usb_verboten;usb_text;ksbl_ziffer;ksbl_beantwortet_ok;ksbl_muss_fehlend;ksbl_verboten;ksbl_text
1;nachbarthema;Gilt der GAV für Chefärzte?;2;False;Es wird nicht explizit erwähnt, ob Chefärzte zu dieser Gruppe gehören. | Es wird nicht explizit erwähnt, ob Chefärzte zu dieser Gruppe gehören.;Runde 1 Entwurf USB: Der GAV gilt für Chefärzte am Universitätsspital Basel nicht, da diese der Gruppe der Führungs- und Fachkader gemäss spitalspezifischer Regelung des Verwaltungsrats angehören und somit von der Geltung ausgeschlossen sind. || Runde 1 Kritik USB: gedeckt=False, beanstandet=['Der GAV gilt für Chefärzte am Universitätsspital Basel nicht, da diese der Gruppe der Führungs- und Fachkader gemäss spitalspezifischer Regelung des Verwaltungsrats angehören und somit von der Geltung ausgeschlossen sind.'] || Runde 1 Kritik KSBL: gedeckt=False, beanstandet=['Der GAV gilt für Chefärzte am Kantonsspital Baselland nicht, da diese in Absatz 2 als Ausnahme von der Geltung des GAV aufgeführt werden.'] || Runde 2 Entwurf USB: Der GAV gilt für voll- und teilzeitbeschäftigte Mitarbeitende des Universitätsspitals Basel, der Universitären Psychiatrischen Kliniken Basel und des Felix Platter-Spitals. Dem GAV sind nicht unterstellt: Führungs- und Fachkader gemäss spitalspezifischer Regelung des Verwaltungsrats (Funktionen werden betrieblich benannt.). Es wird nicht explizit erwähnt, ob Chefärzte zu dieser Gruppe gehören. || Runde 2 Kritik USB: gedeckt=False, beanstandet=['Es wird nicht explizit erwähnt, ob Chefärzte zu dieser Gruppe gehören.'] || Runde 2 Kritik KSBL: gedeckt=False, beanstandet=['Es wird nicht explizit erwähnt, ob Chefärzte zu dieser Gruppe gehören.'];111.49;108.75;9321;1091;0.0;0;;True;True;;;Der GAV gilt für voll- und teilzeitbeschäftigte Mitarbeitende des Universitätsspitals Basel, der Universitären Psychiatrischen Kliniken Basel und des Felix Platter-Spitals. Dem GAV sind nicht unterstellt: Führungs- und Fachkader gemäss spitalspezifischer Regelung des Verwaltungsrats (Funktionen werden betrieblich benannt.). Es wird nicht explizit erwähnt, ob Chefärzte zu dieser Gruppe gehören.;True;True;;;Der GAV gilt für das gesamte voll- und teilzeitlich beschäftigte Personal des Kantonsspitals Baselland und der Psychiatrie Baselland mit Ausnahme der in den beiden folgenden Absätzen genannten Personalkategorien. Beim Kantonsspital Baselland gilt der GAV nicht für leitende Ärzte/Ärztinnen, Chefärzte/Chefärztinnen, das übrige Personal auf vergleichbarer Stufe und die Mitglieder der Geschäftsleitung. Es wird nicht explizit erwähnt, ob Chefärzte zu dieser Gruppe gehören.
2;tabelle;Was bekomme ich nach 20 Dienstjahren?;1;True;;Runde 1 Entwurf USB: Nach 20 Dienstjahren erhält man am Universitätsspital Basel ein Dienstaltersgeschenk in Höhe des Monatslohns von einer halben oder in Tagen 10. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];43.25;39.89;5694;305;0.0;0;;True;True;;;Nach 20 Dienstjahren erhält man am Universitätsspital Basel ein Dienstaltersgeschenk in Höhe des Monatslohns von einer halben oder in Tagen 10.;True;True;;;"Am Kantonsspital Baselland erhält man nach 20 Dienstjahren eine Treuprämie von CHF 3'000.--; die Auszahlung erfolgt entsprechend dem Beschäftigungsgrad der letzten 5 Dienstjahre."
3;nachbarthema;Wie ist der Vaterschaftsurlaub geregelt?;1;True;;Runde 1 Entwurf USB: Der Vaterschaftsurlaub beträgt 10 Tage. Wenn vom Mitarbeiter gewünscht und betrieblich möglich, wird zusätzlich zu diesen 10 Tagen ein unbezahlter Urlaub von bis zu 20 Tagen gewährt, welcher in der Regel im 1. Lebensjahr des Kindes bezogen werden muss. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];42.16;38.99;3954;324;0.0;0;;True;True;;;Der Vaterschaftsurlaub beträgt 10 Tage. Wenn vom Mitarbeiter gewünscht und betrieblich möglich, wird zusätzlich zu diesen 10 Tagen ein unbezahlter Urlaub von bis zu 20 Tagen gewährt, welcher in der Regel im 1. Lebensjahr des Kindes bezogen werden muss.;False;True;10|zehn;zwölf Monaten|12 Monaten;"Den Mitarbeitenden wird in den ersten zwei Jahren nach der Geburt eines Kindes auf Gesuch hin unbezahlter Urlaub bis zu zwölf Monaten gewährt. Der Urlaub kann von der Mutter oder vom Vater bezogen werden; sind beide Eltern beim Arbeitgeber angestellt, kann der Urlaub auch zwischen den Eltern aufgeteilt werden."
4;nachbarthema;Wie lange ist die Kündigungsfrist während der Probezeit?;1;True;;Runde 1 Entwurf USB: Während der Probezeit beträgt die Kündigungsfrist 7 Tage, jeweils auf das Ende einer Kalenderwoche. Während einer verlängerten Probezeit beträgt die Kündigungsfrist 30 Tage auf Monatsende. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];38.42;35.23;3868;270;0.0;0;;True;True;;;Während der Probezeit beträgt die Kündigungsfrist 7 Tage, jeweils auf das Ende einer Kalenderwoche. Während einer verlängerten Probezeit beträgt die Kündigungsfrist 30 Tage auf Monatsende.;True;True;;;Während der Probezeit kann der Einzelarbeitsvertrag beidseitig jederzeit unter Einhaltung einer Kündigungsfrist von sieben Kalendertagen gekündigt werden.
5;beide;Gilt der GAV für Praktikanten?;1;True;;Runde 1 Entwurf USB: Gemäss Ziff. 1.3 Geltungsbereich des GAV gilt dieser nicht für Personal in Ausbildung und Praktikanten. Für diese gelten die einschlägigen Ausbildungsbestimmungen und die gesetzlichen Grundlagen des Berufsbildungsgesetzes. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];37.86;34.72;4705;257;0.0;0;;True;True;;;Gemäss Ziff. 1.3 Geltungsbereich des GAV gilt dieser nicht für Personal in Ausbildung und Praktikanten. Für diese gelten die einschlägigen Ausbildungsbestimmungen und die gesetzlichen Grundlagen des Berufsbildungsgesetzes.;True;True;;;Gemäss Ziff. 5 Geltungsbereich des GAV gilt dieser nicht für Praktikanten/Praktikantinnen.
6;beide;Wie lange dauert die Probezeit?;1;True;;Runde 1 Entwurf USB: Die ersten 3 Monate des Arbeitsverhältnisses gelten als Probezeit. Eine Verlängerung um maximal weitere 3 Monate kann schriftlich im gegenseitigen Einvernehmen vereinbart werden. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];36.13;32.87;3823;249;0.0;0;;True;True;;;Die ersten 3 Monate des Arbeitsverhältnisses gelten als Probezeit. Eine Verlängerung um maximal weitere 3 Monate kann schriftlich im gegenseitigen Einvernehmen vereinbart werden.;True;True;;;Für alle Arbeitsverhältnisse gelten die ersten drei Monate als Probezeit.
7;beide;Wie lange ist die Kündigungsfrist nach der Probezeit?;1;True;;Runde 1 Entwurf USB: Nach Ablauf der Probezeit betragen die Kündigungsfristen für beide Vertragsparteien im ersten Anstellungsjahr einen Monat und ab dem zweiten Anstellungsjahr drei Monate. Im Anstellungsvertrag kann eine längere Kündigungsfrist, maximal aber sechs Monate, vereinbart werden. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];38.07;34.84;3878;277;0.0;0;;True;True;;;Nach Ablauf der Probezeit betragen die Kündigungsfristen für beide Vertragsparteien im ersten Anstellungsjahr einen Monat und ab dem zweiten Anstellungsjahr drei Monate. Im Anstellungsvertrag kann eine längere Kündigungsfrist, maximal aber sechs Monate, vereinbart werden.;True;True;;;Nach Ablauf der Probezeit kann das Arbeitsverhältnis von beiden Seiten mit einer Frist von drei Monaten, jeweils auf ein Monatsende gekündigt werden.
8;beide;Wie viele Ferientage habe ich pro Jahr?;1;True;;Runde 1 Entwurf USB: Der Ferienanspruch beträgt grundsätzlich 25 Arbeitstage pro Kalenderjahr. Er erhöht sich im Kalenderjahr, in welchem das 50. Altersjahr vollendet wird, auf 28 Arbeitstage und im Kalenderjahr, in dem das 60. Altersjahr vollendet wird, auf 32 Arbeitstage. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];41.01;37.63;4106;310;0.0;0;;True;True;;;Der Ferienanspruch beträgt grundsätzlich 25 Arbeitstage pro Kalenderjahr. Er erhöht sich im Kalenderjahr, in welchem das 50. Altersjahr vollendet wird, auf 28 Arbeitstage und im Kalenderjahr, in dem das 60. Altersjahr vollendet wird, auf 32 Arbeitstage.;True;True;;;Der Ferienanspruch pro Kalenderjahr beträgt: bis 20 Jahre 30 Arbeitstage, 21 bis 49 Jahre 25 Arbeitstage, 50 bis 59 Jahre 27 Arbeitstage und 60 bis Pensionierung 30 Arbeitstage.
9;beide;Habe ich Anspruch auf einen dreizehnten Monatslohn?;1;True;;Runde 1 Entwurf USB: Der Jahreslohn wird in 13 Monatslöhnen ausbezahlt. Mitarbeitende, die im Laufe eines Kalenderjahres ihre Tätigkeit aufnehmen oder aufgeben, haben Anspruch pro rata temporis auf den 13. Monatslohn. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];40.8;37.55;3740;308;0.0;0;;True;True;;;Der Jahreslohn wird in 13 Monatslöhnen ausbezahlt. Mitarbeitende, die im Laufe eines Kalenderjahres ihre Tätigkeit aufnehmen oder aufgeben, haben Anspruch pro rata temporis auf den 13. Monatslohn.;True;True;;;Die Mitarbeitenden haben Anspruch auf einen 13. Monatslohn, der jeweils mit dem Novemberlohn zur Auszahlung gelangt. Im Eintritts- und im Austrittsjahr besteht ein anteilmässiger Anspruch entsprechend der effektiven Dauer des Arbeitsverhältnisses im betreffenden Kalenderjahr.
10;beide;Wie lange wird der Lohn bei Krankheit weiterbezahlt?;1;True;;Runde 1 Entwurf USB: Bei Arbeitsunfähigkeit infolge Krankheit stellt der Arbeitgeber für insgesamt 730 Tage die Lohnfortzahlung sicher. Diese beträgt während der Dauer der Anstellung 100% des vertraglich vereinbarten Lohnes (Nettolohnprinzip), danach 80%. Beim befristeten Arbeitsverhältnis besteht die Lohnfortzahlung nur dann, wenn das Arbeitsverhältnis für mehr als 6 Monate eingegangen wurde oder mehr als 6 Monate gedauert hat. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];50.06;46.99;4877;414;0.0;0;;True;True;;;Bei Arbeitsunfähigkeit infolge Krankheit stellt der Arbeitgeber für insgesamt 730 Tage die Lohnfortzahlung sicher. Diese beträgt während der Dauer der Anstellung 100% des vertraglich vereinbarten Lohnes (Nettolohnprinzip), danach 80%. Beim befristeten Arbeitsverhältnis besteht die Lohnfortzahlung nur dann, wenn das Arbeitsverhältnis für mehr als 6 Monate eingegangen wurde oder mehr als 6 Monate gedauert hat.;True;True;;;Bei krankheitsbedingter Abwesenheit erhalten die Mitarbeitenden ein Krankentaggeld in der Höhe von 100% des Nettolohnes (zuzüglich allfälliger Sozialzulagen) ausbezahlt. Das Taggeld wird für 730 Tage ab Beginn einer Krankheit gewährt, sofern die Krankheit nicht vorsätzlich oder grobfahrlässig verursacht worden ist.
