id;kategorie;frage;runde;gedeckt;beanstandungen;dauer_gesamt_s;dauer_modell_s;tokens_prompt;tokens_antwort;kosten_chf;maengel_anzahl;maengel;usb_ziffer;usb_beantwortet_ok;usb_muss_fehlend;usb_verboten;usb_text;ksbl_ziffer;ksbl_beantwortet_ok;ksbl_muss_fehlend;ksbl_verboten;ksbl_text
1;nachbarthema;Gilt der GAV für Chefärzte?;2;False;Chefärzte werden in den genannten Ausnahmen nicht explizit genannt.;112.52;112.32;6309;778;0.0;0;;True;True;;;Der GAV gilt für voll- und teilzeitbeschäftigte Mitarbeitende des Universitätsspitals Basel, der Universitären Psychiatrischen Kliniken Basel und des Felix Platter-Spitals. Dem GAV sind nicht unterstellt: a. Mitglieder der Geschäfts- bzw. Spitalleitung, b. Führungs- und Fachkader gemäss spitalspezifischer Regelung des Verwaltungsrats (Funktionen werden betrieblich benannt.) und c. Personal in Ausbildung und Praktikanten. Chefärzte werden in den genannten Ausnahmen nicht explizit genannt.;True;True;nicht;;Der GAV gilt für das gesamte voll- und teilzeitlich beschäftigte Personal des Kantonsspitals Baselland und der Psychiatrie Baselland mit Ausnahme der in den beiden folgenden Absätzen genannten Personalkategorien. Dazu gehören unter anderem leitende Ärzte/Ärztinnen, Chefärzte/Chefärztinnen, das übrige Personal auf vergleichbarer Stufe und die Mitglieder der Geschäftsleitung. Chefärzte werden in dieser Liste explizit genannt.
2;tabelle;Was bekomme ich nach 20 Dienstjahren?;1;True;;46.38;46.24;3811;297;0.0;0;;True;True;;;Nach 20 Dienstjahren erhält man am Universitätsspital Basel ein Dienstaltersgeschenk in Höhe des Monatslohns von einer halben oder in Tagen 10.;True;True;;;Am Kantonsspital Baselland werden nach 20 Dienstjahren Treuprämien in der Höhe von CHF 3'000.00 ausgerichtet. Die Auszahlung erfolgt entsprechend dem Beschäftigungsgrad der letzten 5 Dienstjahre.
3;nachbarthema;Wie ist der Vaterschaftsurlaub geregelt?;2;True;;101.16;101.02;5476;695;0.0;0;;True;True;;;Der Vaterschaftsurlaub beträgt 10 Tage. Der Arbeitgeber unterstützt einen längeren, unbezahlten Vaterschaftsurlaub. Wenn vom Mitarbeiter gewünscht und betrieblich möglich, wird deshalb zusätzlich zu diesen 10 Tagen ein unbezahlter Urlaub von bis zu 20 Tagen gewährt.;False;True;10|zehn;zwölf Monaten|12 Monaten;"Den Mitarbeitenden wird in den ersten zwei Jahren nach der Geburt eines Kindes auf Gesuch hin unbezahlter Urlaub bis zu zwölf Monaten gewährt. Der Urlaub kann von der Mutter oder vom Vater bezogen werden; sind beide Eltern beim Arbeitgeber angestellt, kann der Urlaub auch zwischen den Eltern aufgeteilt werden."
4;nachbarthema;Wie lange ist die Kündigungsfrist während der Probezeit?;2;True;;81.27;81.14;5341;537;0.0;0;;True;True;;3 Monate|drei Monate;Die ersten 3 Monate des Arbeitsverhältnisses gelten als Probezeit. Die Kündigungsfrist während der Probezeit beträgt 7 Tage, jeweils auf das Ende einer Kalenderwoche.;True;True;;;Für alle Arbeitsverhältnisse gelten die ersten drei Monate als Probezeit. Während dieser Zeit kann der Einzelarbeitsvertrag beidseitig jederzeit unter Einhaltung einer Kündigungsfrist von sieben Kalendertagen gekündigt werden.
5;beide;Gilt der GAV für Praktikanten?;1;True;;33.46;33.32;3133;206;0.0;0;;True;True;;;Der GAV gilt beim Universitätsspital Basel nicht für Personal in Ausbildung und Praktikanten. Für diese gelten die einschlägigen Ausbildungsbestimmungen und die gesetzlichen Grundlagen des Berufsbildungsgesetzes.;True;True;;;Beim Kantonsspital Baselland gilt der GAV nicht für Praktikanten/Praktikantinnen.
6;beide;Wie lange dauert die Probezeit?;1;True;;32.83;32.7;2548;212;0.0;0;;True;True;;;Die ersten 3 Monate des Arbeitsverhältnisses gelten als Probezeit. Eine Verlängerung um maximal weitere 3 Monate kann schriftlich im gegenseitigen Einvernehmen vereinbart werden.;True;True;;;Für alle Arbeitsverhältnisse gelten die ersten drei Monate als Probezeit.
7;beide;Wie lange ist die Kündigungsfrist nach der Probezeit?;2;False;Nach Ablauf der Probezeit betragen die Fristen für die Kündigung des Arbeitsverhältnisses für beide Vertragsparteien im ersten Anstellungsjahr 1 Monat und ab zweitem Anstellungsjahr 3 Monate.;103.19;103.06;5431;706;0.0;0;;True;True;;;Nach Ablauf der Probezeit betragen die Fristen für die Kündigung des Arbeitsverhältnisses für beide Vertragsparteien im ersten Anstellungsjahr 1 Monat und ab zweitem Anstellungsjahr 3 Monate. Im Anstellungsvertrag kann eine längere Kündigungsfrist, maximal aber 6 Monate, vereinbart werden. Die Kündigung kann jeweils auf Ende eines Monates erfolgen, sofern kein besonderer Kündigungstermin vereinbart wurde.;True;True;;;Nach Ablauf der Probezeit kann das Arbeitsverhältnis von beiden Seiten mit einer Frist von drei Monaten, jeweils auf ein Monatsende gekündigt werden. Die Kündigung muss am letzten Werktag vor Beginn der Kündigungsfrist von der Gegenseite empfangen sein.
8;beide;Wie viele Ferientage habe ich pro Jahr?;2;True;;117.79;117.65;5923;993;0.0;0;;True;True;;;Der Ferienanspruch beträgt grundsätzlich 25 Arbeitstage pro Kalenderjahr. Er erhöht sich im Kalenderjahr, in welchem das 50. Altersjahr vollendet wird, auf 28 Arbeitstage und im Kalenderjahr, in dem das 60. Altersjahr vollendet wird, auf 32 Arbeitstage. Bei Arbeitseintritt oder -austritt im Laufe des Kalenderjahres ist die Feriendauer anteilig zu bemessen. Bei Arbeitsunfähigkeit werden ab dem 4. Monat die Ferien um je 1/12 pro Abwesenheitsmonat gekürzt.;True;True;;;"Der Ferienanspruch pro Kalenderjahr beträgt: bis 20 Jahre 30 Arbeitstage; 21 bis 49 Jahre: 25 Arbeitstage; 50 bis 59 Jahre: 27 Arbeitstage; 60 bis Pensionierung: 30 Arbeitstage. Massgebend ist das Kalenderjahr, in dem das jeweilige Altersjahr vollendet wird. Für Feiertage und arbeitsfreie Tage gilt die Regelung am Arbeitsort. Die Mitarbeitenden haben Anspruch auf elf Feiertage/arbeitsfreie Tage pro Jahr. Feiertage/arbeitsfreie Tage, die in die Ferien fallen, können nachbezogen werden. Feiertage sind den Sonntagen gleichgestellt. Die Ferien sind im gegenseitigen Einvernehmen frühzeitig festzulegen. Mindestens zwei Wochen der jährlich zustehenden Ferien sind zusammenhängend zu beziehen. Der Ferienanspruch wird für das Kalenderjahr berechnet."
9;beide;Habe ich Anspruch auf einen dreizehnten Monatslohn?;1;True;;35.82;35.7;2514;305;0.0;0;;True;True;;;Der Jahreslohn wird in 13 Monatslöhnen ausbezahlt. Mitarbeitende, die im Laufe eines Kalenderjahres ihre Tätigkeit aufnehmen oder aufgeben, haben Anspruch pro rata temporis auf den 13. Monatslohn.;True;True;;;Die Mitarbeitenden haben Anspruch auf einen 13. Monatslohn, der jeweils mit dem Novemberlohn zur Auszahlung gelangt. Im Eintritts- und im Austrittsjahr besteht ein anteilmässiger Anspruch entsprechend der effektiven Dauer des Arbeitsverhältnisses im betreffenden Kalenderjahr.
10;beide;Wie lange wird der Lohn bei Krankheit weiterbezahlt?;1;True;;46.13;45.99;3331;400;0.0;1;KSBL nennt Belegstelle 4 aus USB;True;True;;;Bei Arbeitsunfähigkeit infolge Krankheit stellt der Arbeitgeber für insgesamt 730 Tage die Lohnfortzahlung sicher. Diese beträgt während der Dauer der Anstellung 100% des vertraglich vereinbarten Lohnes (Nettolohnprinzip), danach 80%. Beim befristeten Arbeitsverhältnis besteht die Lohnfortzahlung nur dann, wenn das Arbeitsverhältnis für mehr als 6 Monate eingegangen wurde oder mehr als 6 Monate gedauert hat.;True;True;;;Bei krankheitsbedingter Abwesenheit erhalten die Mitarbeitenden ein Krankentaggeld in der Höhe von 100% des Nettolohnes (zuzüglich allfälliger Sozialzulagen) ausbezahlt. Das Taggeld wird für 730 Tage ab Beginn einer Krankheit gewährt, sofern die Krankheit nicht vorsätzlich oder grobfahrlässig verursacht worden ist. Bei Absenzen von mehr als 730 Tagen auf Grund der gleichen Krankheit erfolgt eine erneute Lohnfortzahlung erst nach voller Wiederaufnahme der Arbeit während mindestens sechs Monaten.
