id;kategorie;frage;dauer_gesamt_s;dauer_modell_s;tokens_prompt;tokens_antwort;kosten_chf;maengel_anzahl;maengel;usb_ziffer;usb_beantwortet_ok;usb_muss_fehlend;usb_verboten;usb_text;ksbl_ziffer;ksbl_beantwortet_ok;ksbl_muss_fehlend;ksbl_verboten;ksbl_text
1;nachbarthema;Gilt der GAV für Chefärzte?;32.32;32.1;1662;173;0.0;3;USB nennt Belegstelle 2 aus KSBL | USB beantwortet die Frage nicht, nennt aber [1, 2, 3, 4, 6] | KSBL hat Klammernummern im Text: [2];True;False;Führungs- und Fachkader | betrieblich;;Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft.;True;True;;;Gemäss Belegstelle [2] gilt der GAV beim Kantonsspital Baselland nicht für Chefärzte/Chefärztinnen.
2;tabelle;Was bekomme ich nach 20 Dienstjahren?;26.29;23.14;2007;194;0.0;0;;True;True;;;Nach 20 Dienstjahren erhält man am Universitätsspital Basel einen Monatslohn von einer halben Jahreslohn oder 10 Tage.;True;True;;;Am Kantonsspital Baselland werden nach 20 Dienstjahren CHF 3'000.00 als Treueprämie ausgerichtet. Zudem erhöht sich der Ferienanspruch auf 27 Arbeitstage.
3;nachbarthema;Wie ist der Vaterschaftsurlaub geregelt?;26.57;26.43;1530;236;0.0;0;;True;True;;;Der Vaterschaftsurlaub beträgt 10 Tage. Wenn vom Mitarbeiter gewünscht und betrieblich möglich, wird zusätzlich zu diesen 10 Tagen ein unbezahlter Urlaub von bis zu 20 Tagen gewährt, welcher in der Regel im 1. Lebensjahr des Kindes bezogen werden muss.;False;True;10;zwölf Monaten;"Den Mitarbeitenden wird in den ersten zwei Jahren nach der Geburt eines Kindes auf Gesuch hin unbezahlter Urlaub bis zu zwölf Monaten gewährt. Der Urlaub kann von der Mutter oder vom Vater bezogen werden; sind beide Eltern beim Arbeitgeber angestellt, kann der Urlaub auch zwischen den Eltern aufgeteilt werden."
4;nachbarthema;Wie lange ist die Kündigungsfrist während der Probezeit?;21.1;20.96;1747;189;0.0;0;;True;True;;;Während der Probezeit beträgt die Kündigungsfrist 7 Tage, jeweils auf das Ende einer Kalenderwoche. Während einer verlängerten Probezeit beträgt die Kündigungsfrist 30 Tage auf Monatsende.;True;True;;;Während der Probezeit kann der Einzelarbeitsvertrag beidseitig jederzeit unter Einhaltung einer Kündigungsfrist von sieben Kalendertagen gekündigt werden.
5;beide;Gilt der GAV für Praktikanten?;18.54;18.42;1660;178;0.0;0;;True;True;;;Der GAV gilt beim Universitätsspital Basel nicht für Personal in Ausbildung und Praktikanten, sondern für diese gelten die einschlägigen Ausbildungsbestimmungen und die gesetzlichen Grundlagen des Berufsbildungsgesetzes.;True;True;;;Der GAV gilt beim Kantonsspital Baselland nicht für Praktikanten/Praktikantinnen.
6;beide;Wie lange dauert die Probezeit?;19.92;19.78;1741;191;0.0;0;;True;True;;;Die ersten 3 Monate des Arbeitsverhältnisses gelten als Probezeit. Eine Verlängerung um maximal weitere 3 Monate kann schriftlich im gegenseitigen Einvernehmen vereinbart werden. Bei Krankheit, Unfall oder Erfüllung einer gesetzlichen Pflicht kann die Anstellungsinstanz die Probezeit entsprechend der Absenz verlängern.;True;True;;;Für alle Arbeitsverhältnisse gelten die ersten drei Monate als Probezeit.
7;beide;Wie lange ist die Kündigungsfrist nach der Probezeit?;21.63;21.51;1747;212;0.0;0;;True;True;;;Nach Ablauf der Probezeit betragen die Kündigungsfristen für beide Vertragsparteien im ersten Anstellungsjahr einen Monat und ab dem zweiten Anstellungsjahr drei Monate. Im Anstellungsvertrag kann eine längere Kündigungsfrist, maximal aber sechs Monate, vereinbart werden. Die Kündigung kann jeweils auf Ende eines Monates erfolgen.;True;True;;;Nach Ablauf der Probezeit kann das Arbeitsverhältnis von beiden Seiten mit einer Frist von drei Monaten, jeweils auf ein Monatsende gekündigt werden.
8;beide;Wie viele Ferientage habe ich pro Jahr?;23.68;23.56;1676;238;0.0;0;;True;True;;;Der Ferienanspruch beträgt grundsätzlich 25 Arbeitstage pro Kalenderjahr. Er erhöht sich im Kalenderjahr, in dem das 50. Altersjahr vollendet wird, auf 28 Arbeitstage und im Kalenderjahr, in dem das 60. Altersjahr vollendet wird, auf 32 Arbeitstage.;True;True;;;Der Ferienanspruch pro Kalenderjahr beträgt: bis 20 Jahre 30 Arbeitstage, 21 bis 49 Jahre 25 Arbeitstage, 50 bis 59 Jahre 27 Arbeitstage und 60 bis Pensionierung 30 Arbeitstage.
9;beide;Habe ich Anspruch auf einen dreizehnten Monatslohn?;27.18;27.05;1606;277;0.0;0;;True;True;;;Der Jahreslohn wird in 13 Monatslöhnen ausbezahlt. Mitarbeitende, die im Laufe eines Kalenderjahres ihre Tätigkeit aufnehmen oder aufgeben, haben Anspruch pro rata temporis auf den 13. Monatslohn.;True;True;;;Die Mitarbeitenden haben Anspruch auf einen 13. Monatslohn, der jeweils mit dem Novemberlohn zur Auszahlung gelangt. Im Eintritts- und im Austrittsjahr besteht ein anteilmässiger Anspruch entsprechend der effektiven Dauer des Arbeitsverhältnisses im betreffenden Kalenderjahr. Dauert der unbezahlte Urlaub länger als 30 Kalendertage, so wird der 13. Monatslohn entsprechend der Dauer des unbezahlten Urlaubs anteilmässig gekürzt.
10;beide;Wie lange wird der Lohn bei Krankheit weiterbezahlt?;28.49;28.36;1773;292;0.0;0;;True;True;;;Bei Arbeitsunfähigkeit infolge Krankheit stellt der Arbeitgeber für insgesamt 730 Tage die Lohnfortzahlung sicher. Diese beträgt während der Dauer der Anstellung 100% des vertraglich vereinbarten Lohnes (Nettolohnprinzip), danach 80%. Beim befristeten Arbeitsverhältnis besteht die Lohnfortzahlung nur dann, wenn das Arbeitsverhältnis für mehr als 6 Monate eingegangen wurde oder mehr als 6 Monate gedauert hat.;True;True;;;Bei krankheitsbedingter Abwesenheit erhalten die Mitarbeitenden ein Krankentaggeld in der Höhe von 100% des Nettolohnes (zuzüglich allfälliger Sozialzulagen) ausbezahlt. Das Taggeld wird für 730 Tage ab Beginn einer Krankheit gewährt, sofern die Krankheit nicht vorsätzlich oder grobfahrlässig verursacht worden ist.
